Node_ID,Node_Name,Time_BP_Lower,Time_BP_Upper,Time_BP_Median,Unit,Primary_Reference,Recent_Reference,Dating_Rationale,Notes
1,Origin of Life,3900000000,3900000000,3900000000,years BP,"Orgel, L.E., 1994. The origin of life on the Earth. Scientific American 271(4): 76–83.","Panov, A.D., 2005. Scaling law of the biological evolution and the hypothesis of the self-consistent galaxy origin of life. Advances in Space Research 36(2): 220–225.","Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: ~3.9 Ga. Deep-time estimate; treated as point for modeling.
2,Great Oxidation Event,2400000000,2400000000,2400000000,years BP,"Gumsley, A.P. et al., 2017. Timing and tempo of the Great Oxidation Event. Proceedings of the National Academy of Sciences 114(8): 1811–1816.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: ~2.4 Ga. Anchored on geochemical constraints summarized in Gumsley et al.
3,Appearance of Eukaryotes,1800000000,1800000000,1800000000,years BP,"Vellai, T. & Vida, G., 1999. The origin of eukaryotes: the difference between prokaryotic and eukaryotic cells. Proceedings of the Royal Society B 266(1428): 1571–1577.","Poole, A.M. & Gribaldo, S., 2014. Eukaryotic origins: how and when was the mitochondrion acquired? Cold Spring Harbor Perspectives in Biology 6(12): a015990.","Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: ~1.8 Ga. Eukaryogenesis timing is uncertain; point estimate used for sequence modeling.
4,Spread of Sexual Reproduction,1000000000,1000000000,1000000000,years BP,"Poole, A.M. & Gribaldo, S., 2014. Eukaryotic origins: how and when was the mitochondrion acquired? Cold Spring Harbor Perspectives in Biology 6(12): a015990.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: ~1.0 Ga. Operational milestone for major transitions associated with sex.
5,Establishment of Multicellularity,800000000,800000000,800000000,years BP,"Niklas, K.J., 2014. The evolutionary-developmental origins of multicellularity. American Journal of Botany 101(1): 6–25.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: ~0.8 Ga. Multicellularity evolved multiple times; representative estimate used.
6,Establishment of Metazoan Lineage,541000000,541000000,541000000,years BP,"Lake, J.A., 1990. Origin of the metazoa. Proceedings of the National Academy of Sciences 87(19): 763–766.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: 541 Ma. Anchored near the Cambrian boundary.
7,Jawed Vertebrates,430000000,430000000,430000000,years BP,"Forey, P., 1995. The origin of jawed vertebrates. In Major Events in the History of Life (pp. 273–281). Jones & Bartlett.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: 430 Ma. Silurian estimate (approx.).
8,Tetrapod Terrestrialization,370000000,370000000,370000000,years BP,"Clack, J.A., 2012. Gaining Ground: The Origin and Evolution of Tetrapods (2nd ed.). Indiana University Press.","Fukuhara, K. et al., 2022. The origin of terrestrial locomotion: a review. Integrative and Comparative Biology 62(2): 221–232.","Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: 370 Ma. Representative estimate for Devonian land transition.
9,Amniotes,312000000,312000000,312000000,years BP,"Reisz, R.R., 1997. The origin and early evolutionary history of amniotes. Trends in Ecology & Evolution 12(6): 218–222.","Reisz, R.R. & Modesto, S.P., 2016. Archerpeton anthracos from the Joggins Formation and the early radiation of amniotes. The Anatomical Record 299(6): 747–759.","Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: 312 Ma. Late Carboniferous estimate.
10,Key Innovations in Mammaliaforms,210000000,210000000,210000000,years BP,"Hunter, J.P. & Jernvall, J., 1995. The hypocone as a key innovation in mammalian evolution. Proceedings of the National Academy of Sciences 92(23): 10718–10722.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: 210 Ma. Triassic–Jurassic mammaliaform diversification (approx.).
11,Mammalian Expansion after K–Pg,66000000,66000000,66000000,years BP,"Pires, M.M. et al., 2018. Pleistocene megafaunal extinctions and the functional diversity of mammals. Ecology Letters 21(4): 602–614.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: 66 Ma. Anchored on K–Pg boundary for expansion dynamics.
12,Primate Crown Group,25000000,25000000,25000000,years BP,"Macho, G.A., 2001. Primate phylogeny. In Encyclopedia of Life Sciences. John Wiley & Sons.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: 25 Ma. Oligocene estimate (approx.).
13,Hominin–Ape Divergence / Hominidae Establishment,7000000,7000000,7000000,years BP,"Andrews, P. & Harrison, T., 2005. The last common ancestor of apes and humans. In Interpreting the Past (pp. 103–120). Brill.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: 7 Ma. Late Miocene estimate (approx.).
14,Emergence of Homo sapiens,300000,300000,300000,years BP,"Stringer, C., 2016. The origin and evolution of Homo sapiens. Philosophical Transactions of the Royal Society B 371(1698): 20150237.",,"Reported ages in Ga/Ma/ka were converted to years BP (1 Ga=10^9, 1 Ma=10^6, 1 ka=10^3 years). Point estimates are used for sequence modeling; where multiple sources exist, references indicate support.",Time_label: 300 ka. Estimate for early anatomically modern humans.
